#tensecode	tense	pronoun	description	case	case_weak	case_cause	subject	extra
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	هم	فعل مضارع   مبني للمجهول	منصوب بحذف النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	هن	فعل مضارع   مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	أنا	فعل مضارع مؤكّد مبني للمجهول	مبني على الفتح		لاتصاله بنون التوكيد	ونائب الفاعل ضمير مستتر وجوبًا تقديره أنا	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	أنت	فعل مضارع مؤكّد مبني للمجهول	مبني على الفتح		لاتصاله بنون التوكيد	ونائب الفاعل ضمير مستتر وجوبًا تقديره أنتَ	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	أنتِ	فعل مضارع مؤكّد مبني للمجهول	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وياء المخاطبة المحذوفة ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	هو	فعل مضارع مؤكّد مبني للمجهول	مبني على الفتح		لاتصاله بنون التوكيد		ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	هي	فعل مضارع مؤكّد مبني للمجهول	مبني على الفتح		لاتصاله بنون التوكيد		ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	أنتما	فعل مضارع مؤكّد مبني للمجهول	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	أنتما مؤ	فعل مضارع مؤكّد مبني للمجهول	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	هما	فعل مضارع مؤكّد مبني للمجهول	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	هما مؤ	فعل مضارع مؤكّد مبني للمجهول	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	نحن	فعل مضارع مؤكّد مبني للمجهول	مبني على الفتح		لاتصاله بنون التوكيد	ونا: ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	أنتم	فعل مضارع مؤكّد مبني للمجهول	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	 والواو: واو الجماعة المحذوفة ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	أنتن	فعل مضارع مؤكّد مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	هم	فعل مضارع مؤكّد مبني للمجهول	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	 والواو: واو الجماعة المحذوفة ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassiveConfirmedFuture	المضارع المؤكد الثقيل المجهول 	هن	فعل مضارع مؤكّد مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب فاعل	ونون التوكيد لا محل لها من الإعراب
